A,W,P,final_mean_s,total_prunes,collapsed
4.000000000000000222e-01,9.817477042468103487e-02,6.400000000000000000e+01,5.001404281047129308e-01,6.789037500000000000e+07,0.000000000000000000e+00
4.000000000000000222e-01,1.963495408493620697e-01,3.200000000000000000e+01,5.000560780558136464e-01,6.849183400000000000e+07,0.000000000000000000e+00
4.000000000000000222e-01,2.617993877991494078e-01,2.400000000000000000e+01,4.998966056664656543e-01,6.822560200000000000e+07,0.000000000000000000e+00
4.000000000000000222e-01,3.926990816987241395e-01,1.600000000000000000e+01,5.001795470458207937e-01,6.789045000000000000e+07,0.000000000000000000e+00
4.000000000000000222e-01,5.235987755982988157e-01,1.200000000000000000e+01,5.003031609023342874e-01,6.771289100000000000e+07,0.000000000000000000e+00
4.000000000000000222e-01,7.853981633974482790e-01,8.000000000000000000e+00,5.003065848692577200e-01,6.687175900000000000e+07,0.000000000000000000e+00
5.999999999999999778e-01,9.817477042468103487e-02,6.400000000000000000e+01,5.001932779947916297e-01,7.965367300000000000e+07,0.000000000000000000e+00
5.999999999999999778e-01,1.963495408493620697e-01,3.200000000000000000e+01,5.001932779947916297e-01,8.001310800000000000e+07,0.000000000000000000e+00
5.999999999999999778e-01,2.617993877991494078e-01,2.400000000000000000e+01,4.999859394317119343e-01,7.982103800000000000e+07,0.000000000000000000e+00
5.999999999999999778e-01,3.926990816987241395e-01,1.600000000000000000e+01,5.001932779947916297e-01,7.959071400000000000e+07,0.000000000000000000e+00
5.999999999999999778e-01,5.235987755982988157e-01,1.200000000000000000e+01,5.001516598660851187e-01,7.846276200000000000e+07,0.000000000000000000e+00
5.999999999999999778e-01,7.853981633974482790e-01,8.000000000000000000e+00,5.001932779947916297e-01,7.971600300000000000e+07,0.000000000000000000e+00
8.000000000000000444e-01,9.817477042468103487e-02,6.400000000000000000e+01,5.001932779947916297e-01,8.446930300000000000e+07,0.000000000000000000e+00
8.000000000000000444e-01,1.963495408493620697e-01,3.200000000000000000e+01,5.001932779947916297e-01,8.460470200000000000e+07,0.000000000000000000e+00
8.000000000000000444e-01,2.617993877991494078e-01,2.400000000000000000e+01,5.004141778901832760e-01,8.507881600000000000e+07,0.000000000000000000e+00
8.000000000000000444e-01,3.926990816987241395e-01,1.600000000000000000e+01,5.001932779947916297e-01,8.356324700000000000e+07,0.000000000000000000e+00
8.000000000000000444e-01,5.235987755982988157e-01,1.200000000000000000e+01,5.001932779947916297e-01,8.580789800000000000e+07,0.000000000000000000e+00
8.000000000000000444e-01,7.853981633974482790e-01,8.000000000000000000e+00,5.001932779947916297e-01,7.971600300000000000e+07,0.000000000000000000e+00
1.000000000000000000e+00,9.817477042468103487e-02,6.400000000000000000e+01,5.001932779947916297e-01,8.725727900000000000e+07,0.000000000000000000e+00
1.000000000000000000e+00,1.963495408493620697e-01,3.200000000000000000e+01,5.001932779947916297e-01,8.755788000000000000e+07,0.000000000000000000e+00
1.000000000000000000e+00,2.617993877991494078e-01,2.400000000000000000e+01,5.002138849450360469e-01,8.679823500000000000e+07,0.000000000000000000e+00
1.000000000000000000e+00,3.926990816987241395e-01,1.600000000000000000e+01,5.001932779947916297e-01,8.777723600000000000e+07,0.000000000000000000e+00
1.000000000000000000e+00,5.235987755982988157e-01,1.200000000000000000e+01,5.001932779947916297e-01,8.580789800000000000e+07,0.000000000000000000e+00
1.000000000000000000e+00,7.853981633974482790e-01,8.000000000000000000e+00,5.001932779947916297e-01,7.971600300000000000e+07,0.000000000000000000e+00
