k,Pk
1.039230484541326494e+00,1.566867554180457443e+07
3.117691453623979481e+00,1.056360360910621658e+07
5.196152422706632024e+00,7.978454109400301240e+06
7.274613391789285899e+00,4.106241653964309487e+06
9.353074360871937998e+00,1.998118113295558607e+06
1.143153532995459187e+01,8.686414950532543007e+05
1.350999629903724397e+01,4.291211431874394766e+05
1.558845726811989785e+01,2.527034878574897302e+05
1.766691823720255172e+01,2.112187604451802326e+05
1.974537920628520027e+01,1.986774671113071963e+05
2.182384017536785592e+01,1.895633900434256648e+05
2.390230114445051157e+01,1.882106240741027577e+05
2.598076211353316012e+01,1.772000865897492622e+05
2.805922308261581577e+01,1.728239145294250920e+05
3.013768405169847142e+01,1.700349069668783341e+05
3.221614502078111997e+01,1.660705975639025564e+05
3.429460598986377562e+01,1.619504653292438888e+05
3.637306695894642417e+01,1.563736229792065860e+05
3.845152792802907982e+01,1.515745132766552852e+05
4.052998889711173547e+01,1.481781657270219293e+05
4.260844986619438401e+01,1.470562026338993164e+05
4.468691083527703967e+01,1.410987640982914309e+05
4.676537180435968821e+01,1.387545115810905118e+05
4.884383277344234386e+01,1.321530001678464178e+05
5.092229374252499952e+01,1.297695081055629271e+05
5.300075471160765517e+01,1.257126322374232986e+05
5.507921568069030371e+01,1.201264040171909292e+05
5.715767664977295937e+01,1.154895196214104362e+05
5.923613761885560791e+01,1.128692290908097930e+05
6.131459858793826356e+01,1.074989787062179967e+05
6.339305955702091921e+01,1.056843132884368533e+05
6.547152052610357487e+01,1.010000163336411497e+05
6.754998149518621631e+01,9.505513774457619002e+04
6.962844246426888617e+01,9.159594600986035948e+04
7.170690343335152761e+01,8.785971711831221182e+04
7.378536440243416905e+01,8.446614206353423651e+04
7.586382537151683891e+01,8.328055790532304673e+04
7.794228634059948035e+01,8.441781689223938156e+04
8.002074730968215022e+01,8.447048074135062052e+04
8.209920827876479166e+01,8.996341593598871259e+04
