mass,counts
2.785685374488683053e+01,6.000000000000000000e+00
5.404259576553743472e+01,1.000000000000000000e+00
1.048432168192492213e+02,0.000000000000000000e+00
2.033969678417572595e+02,0.000000000000000000e+00
3.945923044172108689e+02,0.000000000000000000e+00
7.655133129930514997e+02,0.000000000000000000e+00
1.485104057554037581e+03,0.000000000000000000e+00
2.881117838617505186e+03,0.000000000000000000e+00
5.589399582997208199e+03,0.000000000000000000e+00
1.084349528494136939e+04,0.000000000000000000e+00
2.103649743565030440e+04,0.000000000000000000e+00
4.081103119717126538e+04,0.000000000000000000e+00
7.917383929864277889e+04,0.000000000000000000e+00
1.535980994697776914e+05,0.000000000000000000e+00
2.979819643675170373e+05,0.000000000000000000e+00
